symbol,sector,industry,gain,market_cap
ABOS,Healthcare,Biotechnology,0.4913793103448277,107214962.25
ABSI,Healthcare,Biotechnology,0.3100775193798449,452035298.84999996
ABT,Healthcare,Medical Devices,0.006656694091249176,230647670428.89
ACIU,Healthcare,Biotechnology,1.0050251256281406,314284480.01
ACIW,Technology,Software - Infrastructure,0.17923905872003515,5584916204.56
ADBE,Technology,Software - Infrastructure,-0.08009444724484652,152999244000.0
ADCT,Healthcare,Biotechnology,0.5111111111111111,394353675.24
ADEA,Technology,Software - Application,0.20320111343075853,1862055724.1200001
ADI,Technology,Semiconductors,0.0007443860882511345,119862636646.61
ALYAF,Technology,Information Technology Services,-0.21724137931034476,130348080.08000001
BLIN,Technology,Software - Infrastructure,-0.09999999999999994,14306374.330000002
BLK,Financial Services,Asset Management,0.07873825478405534,180177830739.22
DFIN,Financial Services,Capital Markets,-0.16541117388575013,1506843772.49
DFLI,Industrials,Electrical Equipment & Parts,10.124190700412008,8120916.94
DGII,Technology,Communication Equipment,0.03760683760683761,1361211119.1
DGLY,Communication Services,Internet Content & Information,-0.09375000000000017,91175.76
DGX,Healthcare,Diagnostics & Research,0.030809909754555463,20082591366.24
DH,Healthcare,Health Information Services,-0.15136476426799014,507327241.59000003
DHAI,Healthcare,Medical Devices,-0.19382364892320203,7662992.715
DIN,Consumer Cyclical,Restaurants,0.10433070866141742,417038536.58
DINO,Energy,Oil & Gas Refining & Marketing,0.16550169109357377,9767036661.12
DK,Energy,Oil & Gas Refining & Marketing,0.3579258010118045,2018552261.28
DKL,Energy,Oil & Gas Refining & Marketing,0.023542857142857167,2401084979.02
DKS,Consumer Cyclical,Specialty Retail,0.11824683483135208,18398750054.4
DLX,Communication Services,Advertising Agencies,0.19102486355366904,862846194.2600001
DOGZ,Consumer Cyclical,Leisure,0.38794926004228325,171863883.0
DOLE,Consumer Defensive,Farm Products,-0.04812455767869791,1260237255.42
DTST,Technology,Information Technology Services,0.22662889518413606,30823781.944999997
FATBB,Consumer Cyclical,Restaurants,0.04116706634692255,3202416.0
FATE,Healthcare,Biotechnology,0.14150943396226406,138662884.25
FCUV,Technology,Scientific & Technical Instruments,-0.15717821782178223,24756580.8
FCX,Basic Materials,Copper,-0.12098382450697985,55859027743.21999
FDBC,Financial Services,Banks - Regional,-0.09406146179401982,248233845.6
FDMT,Healthcare,Biotechnology,1.1645569620253164,401441868.69
FDP,Consumer Defensive,Farm Products,0.07835365853658538,1669281246.0
FDS,Financial Services,Financial Data & Stock Exchanges,-0.3696443323137378,10719909366.48
FFWM,Financial Services,Banks - Regional,0.05464480874316936,461246172.79999995
FG,Financial Services,Insurance - Life,-0.0006420545746388306,3884344727.92
