symbol,sector,industry,gain,market_cap
ABOS,Healthcare,Biotechnology,0.2241379310344828,89648669.0
ABSI,Healthcare,Biotechnology,0.06225680933852146,337434800.55
ABT,Healthcare,Medical Devices,-0.01808690537460466,231202653920.41
ACIU,Healthcare,Biotechnology,0.3990147783251232,292194197.07
ACIW,Technology,Software - Infrastructure,0.13831409279024182,5446926007.88
ADBE,Technology,Software - Infrastructure,-0.0685225392886683,154165848000.0
ADCT,Healthcare,Biotechnology,0.36194029850746257,341839241.1
ADEA,Technology,Software - Application,0.19024045261669006,1791099790.06
ADI,Technology,Semiconductors,0.040080665490294896,122769058836.99
ALYAF,Technology,Information Technology Services,-0.29608938547486036,114649223.72000001
BLIN,Technology,Software - Infrastructure,-0.028776978417266053,13993096.06
BLK,Financial Services,Asset Management,0.10216821539194668,178120722619.47
DFIN,Financial Services,Capital Markets,-0.16545012165450115,1453630759.0700002
DFLI,Industrials,Electrical Equipment & Parts,2.184306569343066,2869643.6402
DGII,Technology,Communication Equipment,0.06683878370625354,1362871582.65
DGLY,Communication Services,Internet Content & Information,-0.1428571428571428,93857.40000000001
DGX,Healthcare,Diagnostics & Research,0.05210710905750718,20574224211.91
DH,Healthcare,Health Information Services,0.02051282051282053,586549513.5500001
DHAI,Healthcare,Medical Devices,-0.21682319314005719,7703537.65
DIN,Consumer Cyclical,Restaurants,-0.0028771064529386245,372497478.54
DINO,Energy,Oil & Gas Refining & Marketing,0.2964946445959104,10175880595.43
DK,Energy,Oil & Gas Refining & Marketing,0.5481586402266289,2099819462.88
DKL,Energy,Oil & Gas Refining & Marketing,0.05937136204889399,2468706058.0
DKS,Consumer Cyclical,Specialty Retail,0.15398614832414947,17985896157.78
DLX,Communication Services,Advertising Agencies,0.22815839094908855,853960033.66
DOGZ,Consumer Cyclical,Leisure,-0.13109756097560968,179120358.06
DOLE,Consumer Defensive,Farm Products,-0.06004288777698355,1250733203.72
DTST,Technology,Information Technology Services,0.24486166584064595,29582317.77
FATBB,Consumer Cyclical,Restaurants,0.015799999999999946,3193393.3200000003
FATE,Healthcare,Biotechnology,-0.10714285714285723,111251180.19
FCUV,Technology,Scientific & Technical Instruments,-0.20782396088019553,19919088.0
FCX,Basic Materials,Copper,-0.17531718569780858,50786160032.04001
FDBC,Financial Services,Banks - Regional,-0.03543478260869571,255443239.35
FDMT,Healthcare,Biotechnology,1.2614555256064692,389866266.94
FDP,Consumer Defensive,Farm Products,0.08050586057988894,1646749305.0
FDS,Financial Services,Financial Data & Stock Exchanges,-0.35232963691647284,10795208857.560001
FFWM,Financial Services,Banks - Regional,0.12549019607843148,477719250.4
FG,Financial Services,Insurance - Life,-0.002501563477173291,4014921590.51
FGBI,Financial Services,Banks - Regional,-0.018248175182481792,103163915.25
FGEN,Healthcare,Biotechnology,1.3226415094339625,1235728126.22
FGI,Consumer Cyclical,Furnishings Fixtures & Appliances,8.629057187017002,65783990.580000006
FHB,Financial Services,Banks - Regional,0.008413461538461573,3169422052.86
FLEX,Technology,Electronic Components,0.13882211538461536,21645322607.5
FLGC,Healthcare,Drug Manufacturers - Specialty & Generic,35.379310344827594,437885014.26000005
FLGT,Healthcare,Diagnostics & Research,0.13631790744466807,679172871.62
FLL,Consumer Cyclical,Resorts & Casinos,-0.08469945355191258,118748391.57000001
FLNC,Utilities,Utilities - Renewable,0.7749627421758569,2129571588.15
FND,Consumer Cyclical,Home Improvement Retail,0.007635597682991213,8264084340.6
FNF,Financial Services,Insurance - Specialty,0.07759543346414545,16262890798.86
FNGR,Communication Services,Telecom Services,-0.20689655172413782,92568721.32000001
FNKO,Consumer Cyclical,Leisure,-0.2184873949579831,217049698.0
FNLC,Financial Services,Banks - Regional,0.05470287288469109,294448698.40000004
FNV,Basic Materials,Gold,0.3270497803806736,41190872514.399994
JILL,Consumer Cyclical,Apparel Retail,0.18237704918032774,269286849.96
JJSF,Consumer Defensive,Packaged Foods,-0.15695264967815886,1856836498.58
JKHY,Technology,Information Technology Services,-0.17089415551978684,10821659259.949999
JKS,Technology,Solar,0.13572101790763444,5283066702.08
JL,Basic Materials,Steel,0.0667752442996743,21226400.0
JLL,Real Estate,Real Estate Services,0.17874736101337085,14252139622.76
JXN,Financial Services,Insurance - Life,0.16905056875774288,7422271142.79
KNF,Basic Materials,Building Materials,-0.09872611464968156,4078379268.2000003
KNOP,Industrials,Marine Shipping,0.4488817891373803,321385564.64
KRNT,Industrials,Specialty Industrial Machinery,-0.3119035660472125,646101997.8299999
KVAC,Industrials,Shell Companies,0.028082673702726487,126486724.1211
KVHI,Technology,Communication Equipment,0.07692307692307696,116607883.2
KVUE,Consumer Defensive,Household & Personal Products,-0.21548017200191105,30904762442.4
LDOS,Technology,Information Technology Services,0.17203346855983784,23919681957.920002
LFMD,Healthcare,Health Information Services,-0.5279001468428781,277310539.36
LOBO,Consumer Cyclical,Auto Manufacturers,0.31819103630095324,5055444.0
LOCL,Consumer Defensive,Farm Products,0.2522649572649573,32539877.82
LOCO,Consumer Cyclical,Restaurants,-0.09082652134423251,295092121.37
LODE,Basic Materials,Other Precious Metals & Mining,-0.03166226912928763,90651814.22
LPX,Basic Materials,Building Products & Equipment,-0.014769159204558624,5811624302.39
LYTS,Technology,Electronic Components,0.3927101704879482,708239182.95
MCO,Financial Services,Financial Data & Stock Exchanges,-0.04954245499312181,85084200000.0
MDWD,Healthcare,Biotechnology,-0.07640681466184823,191037108.9
MDXG,Healthcare,Biotechnology,0.13584288052373159,1028615070.8800001
MDXH,Healthcare,Diagnostics & Research,1.095022624434389,212838536.2
MEC,Industrials,Metal Fabrication,-0.149749373433584,276280205.19
MNKD,Healthcare,Biotechnology,0.47860962566844917,1618141863.52
MNMD,Healthcare,Biotechnology,0.6440677966101694,736348867.43
MNOV,Healthcare,Biotechnology,-0.030534351145038195,60817345.04
MNPR,Healthcare,Biotechnology,1.1416992733370597,473359201.91999996
MRT,Technology,Software - Application,-0.24752475247524755,130681969.4
MSTR,Technology,Software - Application,-0.2354352719986147,77385703399.9
MT,Basic Materials,Steel,0.16972767574414185,28148799140.0
MTA,Basic Materials,Other Precious Metals & Mining,0.6067708333333334,552458628.0
MTAL,Basic Materials,Copper,0.009098428453267115,904214761.23
MUR,Energy,Oil & Gas E&P,0.3346666666666667,4251678584.45
NEWP,Basic Materials,Other Precious Metals & Mining,1.1194029850746265,459995770.84000003
NEWT,Financial Services,Banks - Regional,0.05053191489361705,314699295.96000004
PAX,Financial Services,Asset Management,0.03485064011379802,2245246812.81
PAY,Industrials,Business Equipment,-0.04580152671755725,3875278456.7000003
PAYC,Technology,Software - Application,-0.060025929127052784,12303324662.3
PCOR,Technology,Software - Application,0.07263957907044721,10751064812.259998
PEN,Healthcare,Medical Devices,-0.01270311343178892,9598174490.8
PENN,Consumer Cyclical,Resorts & Casinos,0.10800223838836036,2988591785.66
PEP,Consumer Defensive,Beverages - Non-Alcoholic,0.06361708573159654,191900257332.96
PEPG,Healthcare,Biotechnology,3.567567567567567,192231241.44
PGC,Financial Services,Banks - Regional,-0.003893805309734493,497620394.6
PGEN,Healthcare,Biotechnology,1.471830985915493,1024739760.905
PGNY,Healthcare,Health Information Services,-0.024545454545454506,1824427724.8799999
PGR,Financial Services,Insurance - Property & Casualty,-0.08761148167578514,141973637777.01
PIPR,Financial Services,Capital Markets,0.262358782471037,6166820858.3
PJT,Financial Services,Capital Markets,0.10817526210532709,4220646477.04
PKBK,Financial Services,Banks - Regional,0.08419243986254295,261366093.72
PLPC,Industrials,Electrical Equipment & Parts,0.24748138414367069,980934943.23
PNBK,Financial Services,Banks - Regional,-0.1184210526315789,5248416.36
PNC,Financial Services,Banks - Regional,0.09065550906555095,80234270457.42
PNFP,Financial Services,Banks - Regional,-0.1305135404401775,7366086458.509999
PNR,Industrials,Specialty Industrial Machinery,0.06916033508669403,17851349090.73
PNRG,Energy,Oil & Gas E&P,0.17799562781800798,296011125.0
PPIH,Basic Materials,Building Products & Equipment,0.003935286401399207,182960458.56
PPL,Utilities,Utilities - Regulated Electric,0.08350545883741511,26677483393.92
PPSI,Industrials,Electrical Equipment & Parts,0.5745454545454546,46032262.54
PPTA,Basic Materials,Other Precious Metals & Mining,0.742998352553542,1353838084.0
PRZO,Industrials,Aerospace & Defense,0.2720000000000001,17748448.14
PTIX,Healthcare,Biotechnology,0.1753424657534247,2279207.7600000002
PTLO,Consumer Cyclical,Restaurants,-0.4584404455869751,469995920.09999996
PTON,Consumer Cyclical,Leisure,0.23414985590778084,3283501056.32
PXS,Industrials,Marine Shipping,0.023214285714285854,30604857.099999998
PYPD,Healthcare,Biotechnology,-0.0552407932011331,16166739.24
PYPL,Financial Services,Credit Services,-0.09445640473627552,66022041246.479996
QRHC,Industrials,Waste Management,-0.19801980198019797,32145976.2
QRVO,Technology,Semiconductors,0.09551289600753739,8719528235.52
QS,Consumer Cyclical,Auto Parts,0.8839285714285715,6836361450.0
RAVE,Consumer Cyclical,Restaurants,0.25454545454545463,50166440.06
RAY,Industrials,Specialty Industrial Machinery,-0.5555555555555555,9229255.492
RAYA,Industrials,Electrical Equipment & Parts,-0.98156,1332800.0
RBA,Industrials,Specialty Business Services,0.011771353234767868,20141320826.219997
RBB,Financial Services,Banks - Regional,0.10749564206856466,338113407.47
RBBN,Communication Services,Telecom Services,-0.06483790523690768,671266000.88
RDHL,Healthcare,Drug Manufacturers - Specialty & Generic,-0.051546391752577254,21032216370.0
RDI,Communication Services,Entertainment,0.14925373134328354,33648527.43
RDIB,Communication Services,Entertainment,0.13519091847265227,18671466.0
RDN,Financial Services,Insurance - Specialty,0.02692948362021096,5316564264.25
RDNT,Healthcare,Diagnostics & Research,0.3338604814619575,5562013630.8
TROX,Basic Materials,Chemicals,-0.20315581854043396,615958418.4
TRP,Energy,Oil & Gas Midstream,0.09551137528182012,55789036804.409996
WAT,Healthcare,Diagnostics & Research,-0.16425051570020638,17097874710.390001
A,Healthcare,Diagnostics & Research,0.04558935683416655,34751170175.13
AA,Basic Materials,Aluminum,0.10843781768891898,8141912398.65
AACG,Consumer Defensive,Education & Training Services,1.1293170605037652,118392196.7
AACT,Industrials,Shell Companies,-0.16240070609002646,593125000.0
AAGR,Consumer Defensive,Farm Products,-0.5,47206.1
AAL,Industrials,Airlines,0.008021390374331538,7489785878.9800005
AAME,Financial Services,Insurance - Life,0.3615023474178404,58955300.620000005
AAOI,Technology,Communication Equipment,0.0031140521603736197,1307820035.8799999
AAON,Basic Materials,Building Products & Equipment,0.2340338983050848,7191169079.57
AAP,Consumer Cyclical,Specialty Retail,0.31211013121101305,3577411959.18
AAPL,Technology,Consumer Electronics,0.24511380806160757,3858719891510.0
AB,Financial Services,Asset Management,-0.07176096007837374,4207889625.03
ABAT,Basic Materials,Other Industrial Metals & Mining,1.7037037037037035,367415763.4
ABBV,Healthcare,Drug Manufacturers - General,0.1885033940308157,385800650885.86
ABCB,Financial Services,Banks - Regional,0.15703245749613595,5164259894.929999
ABCL,Healthcare,Biotechnology,0.3819241982507289,1385642660.8500001
ABEO,Healthcare,Biotechnology,-0.042253521126760445,260141157.28
ABEV,Consumer Defensive,Beverages - Brewers,-0.045643153526971084,36174860000.0
ABG,Consumer Cyclical,Auto & Truck Dealerships,0.0019283977529974343,4642415580.57
ABL,Financial Services,Insurance - Life,0.14202334630350202,563684686.98
ABLV,Communication Services,Advertising Agencies,-0.1200879912008799,37965511.9876
ABM,Industrials,Specialty Business Services,-0.030290192755772074,2804148551.2200003
ABNB,Industrials,Travel Services,-0.06528638355750341,76768196178.25
ABTS,Communication Services,Advertising Agencies,1.2021575369432271,20029237.799999997
ABUS,Healthcare,Biotechnology,0.42718446601941756,827194412.1600001
ABVC,Healthcare,Biotechnology,0.4202247191011236,40483535.04
ABVX,Healthcare,Biotechnology,9.82875816993464,5194522634.0
ACA,Industrials,Engineering & Construction,0.06815822857801881,4468371283.81
ACAD,Healthcare,Biotechnology,-0.024107556791840498,3537584445.57
ACB,Healthcare,Drug Manufacturers - Specialty & Generic,0.14622641509433965,271645629.75
ACCO,Industrials,Business Equipment & Supplies,0.13407821229050265,372452842.08
ACDC,Energy,Oil & Gas Equipment & Services,-0.5141752577319587,594261982.72
ACEL,Consumer Cyclical,Gambling,-0.03398470688190317,958284017.5999999
ACET,Healthcare,Biotechnology,0.3770491803278688,69356807.1
ACGL,Financial Services,Insurance - Diversified,-0.0018671059857221495,33620747628.519997
ACHC,Healthcare,Medical Care Facilities,0.08109299250771264,2208543008.34
ACHR,Industrials,Aerospace & Defense,-0.14470046082949312,5061247563.12
ACHV,Healthcare,Biotechnology,0.33185840707964603,103014663.84
ACI,Consumer Defensive,Grocery Stores,-0.18363551836355196,10110169256.15
ACIC,Financial Services,Insurance - Property & Casualty,0.04136690647482023,546174491.6
ACLS,Technology,Semiconductor Equipment & Materials,0.39876596355287713,3122970750.375
ACLX,Healthcare,Biotechnology,0.21108580106302213,4307885260.86
ACM,Industrials,Engineering & Construction,0.145224171539961,17032043474.000002
ACMR,Consumer Cyclical,Specialty Retail,0.45830115830115853,2396403563.84
ACN,Technology,Information Technology Services,-0.20047509117066475,157832953583.76
ACNB,Financial Services,Banks - Regional,0.04271708683473385,469467855.96000004
ACNT,Basic Materials,Steel,0.00951625693893743,127795798.44
ACON,Healthcare,Health Information Services,0.01262458471760794,9258.59
ACRS,Healthcare,Diagnostics & Research,0.40140845070422543,201808195.27
ACRV,Healthcare,Biotechnology,0.3949579831932773,48281279.2
