ticker,exchange,assetType,priceCurrency,startDate,endDate
-P-H,NYSE,Stock,USD,,
-P-HIZ,NASDAQ,Stock,USD,2023-08-30,2025-09-29
-P-S,NYSE,Stock,USD,2018-08-22,2023-05-05
000001,SHE,Stock,CNY,2007-01-04,2025-10-10
000002,SHE,Stock,CNY,2007-01-04,2025-10-10
000003,SHE,Stock,CNY,,
000004,SHE,Stock,CNY,2007-08-31,2025-10-10
000005,SHE,Stock,CNY,2007-08-31,2024-03-05
000006,SHE,Stock,CNY,2007-01-04,2025-10-10
000007,SHE,Stock,CNY,2007-08-31,2025-10-10
000008,SHE,Stock,CNY,2007-01-04,2025-10-10
000009,SHE,Stock,CNY,2007-01-05,2025-10-10
000010,SHE,Stock,CNY,2007-08-31,2025-10-10
000011,SHE,Stock,CNY,2007-01-04,2025-10-10
000012,SHE,Stock,CNY,2007-01-04,2025-10-10
000013,SHE,Stock,CNY,,
000014,SHE,Stock,CNY,2007-01-04,2025-10-10
000015,SHE,Stock,CNY,,
000016,SHE,Stock,CNY,2007-01-04,2025-10-10
000017,SHE,Stock,CNY,2010-03-18,2025-10-10
000018,SHE,Stock,CNY,2007-08-31,2020-01-06
000019,SHE,Stock,CNY,2007-10-12,2025-10-10
000020,SHE,Stock,CNY,2007-08-31,2025-10-10
000021,SHE,Stock,CNY,2007-01-04,2025-10-10
000022,SHE,Stock,CNY,2018-07-10,2018-12-20
000023,SHE,Stock,CNY,2007-01-04,2024-07-24
000024,SHE,Stock,CNY,,
000025,SHE,Stock,CNY,2007-01-04,2025-10-10
000026,SHE,Stock,CNY,2007-01-04,2025-10-10
000027,SHE,Stock,CNY,2007-01-04,2025-10-10
000028,SHE,Stock,CNY,2007-01-04,2025-10-10
000029,SHE,Stock,CNY,2007-08-31,2025-10-10
000030,SHE,Stock,CNY,2007-01-04,2025-10-10
000031,SHE,Stock,CNY,2007-08-31,2025-10-10
000032,SHE,Stock,CNY,2007-01-04,2025-10-10
000033,SHE,Stock,CNY,2007-08-31,2017-07-06
000034,SHE,Stock,CNY,2007-08-31,2025-10-10
000035,SHE,Stock,CNY,2007-09-28,2025-10-10
000036,SHE,Stock,CNY,2007-01-04,2025-10-10
000037,SHE,Stock,CNY,2007-01-04,2025-10-10
000038,SHE,Stock,CNY,2013-02-08,2023-11-14
000039,SHE,Stock,CNY,2007-01-04,2025-10-10
000040,SHE,Stock,CNY,2007-08-31,2025-03-31
000042,SHE,Stock,CNY,2007-01-04,2025-10-10
000043,SHE,Stock,CNY,2018-01-01,2019-12-13
000045,SHE,Stock,CNY,2007-08-31,2025-10-10
000046,SHE,Stock,CNY,2007-01-04,2023-12-27
000047,SHE,Stock,CNY,,
000048,SHE,Stock,CNY,2007-01-04,2025-10-10
000049,SHE,Stock,CNY,2007-01-04,2025-10-10
000050,SHE,Stock,CNY,2007-01-04,2025-10-10
000055,SHE,Stock,CNY,2007-01-04,2025-10-10
000056,SHE,Stock,CNY,2007-08-31,2025-10-10
000058,SHE,Stock,CNY,2007-01-04,2025-10-10
000059,SHE,Stock,CNY,2007-01-04,2025-10-10
000060,SHE,Stock,CNY,2007-01-04,2025-10-10
000061,SHE,Stock,CNY,2007-10-12,2025-10-10
000062,SHE,Stock,CNY,2007-01-04,2025-10-10
000063,SHE,Stock,CNY,2007-01-04,2025-10-10
000065,SHE,Stock,CNY,2007-01-04,2025-10-10
000066,SHE,Stock,CNY,2007-08-30,2025-10-10
000068,SHE,Stock,CNY,2007-08-30,2025-10-10
000069,SHE,Stock,CNY,2007-01-04,2025-10-10
000070,SHE,Stock,CNY,2007-01-04,2025-10-10
000078,SHE,Stock,CNY,2007-08-30,2025-10-10
000088,SHE,Stock,CNY,2007-01-04,2025-10-10
000089,SHE,Stock,CNY,2007-01-04,2025-10-10
000090,SHE,Stock,CNY,2007-01-04,2025-10-10
000096,SHE,Stock,CNY,2007-01-04,2025-10-10
000099,SHE,Stock,CNY,2007-01-04,2025-10-10
000100,SHE,Stock,CNY,2007-01-04,2025-10-10
000150,SHE,Stock,CNY,2007-11-02,2023-06-09
000151,SHE,Stock,CNY,2007-01-04,2025-10-10
000153,SHE,Stock,CNY,2007-08-30,2025-10-10
000155,SHE,Stock,CNY,2007-08-30,2025-10-10
000156,SHE,Stock,CNY,2012-10-19,2025-10-10
000157,SHE,Stock,CNY,2007-01-04,2025-10-10
000158,SHE,Stock,CNY,2007-08-30,2025-10-10
000159,SHE,Stock,CNY,2007-01-05,2025-10-10
000166,SHE,Stock,CNY,2015-01-26,2025-10-10
0001753539,NYSE,Stock,USD,,
000301,SHE,Stock,CNY,2007-09-03,2025-10-10
000333,SHE,Stock,CNY,2013-09-18,2025-10-10
000338,SHE,Stock,CNY,2007-04-30,2025-10-10
000400,SHE,Stock,CNY,2007-08-30,2025-10-10
000401,SHE,Stock,CNY,2007-01-04,2025-10-10
000402,SHE,Stock,CNY,2007-01-04,2025-10-10
000403,SHE,Stock,CNY,2013-02-08,2025-10-10
000404,SHE,Stock,CNY,2007-08-30,2025-10-10
000405,SHE,Stock,CNY,,
000406,SHE,Stock,CNY,,
000407,SHE,Stock,CNY,2007-01-04,2025-10-10
000408,SHE,Stock,CNY,2007-08-30,2025-10-10
000409,SHE,Stock,CNY,2007-08-30,2025-10-10
000410,SHE,Stock,CNY,2007-01-04,2025-10-10
000411,SHE,Stock,CNY,2007-01-04,2025-10-10
000412,SHE,Stock,CNY,,
000413,SHE,Stock,CNY,2007-08-30,2024-08-13
000415,SHE,Stock,CNY,2007-08-30,2025-10-10
000416,SHE,Stock,CNY,2007-01-04,2024-04-24
000417,SHE,Stock,CNY,2007-01-04,2025-10-10
000418,SHE,Stock,CNY,2007-08-31,2019-05-07
000419,SHE,Stock,CNY,2007-08-30,2025-10-10
000420,SHE,Stock,CNY,2007-08-30,2025-10-10
000421,SHE,Stock,CNY,2007-08-30,2025-10-10
000422,SHE,Stock,CNY,2007-08-30,2025-10-10
000423,SHE,Stock,CNY,2007-05-10,2025-10-10
000425,SHE,Stock,CNY,2007-01-04,2025-10-10
000426,SHE,Stock,CNY,2007-08-30,2025-10-10
000428,SHE,Stock,CNY,2007-08-30,2025-10-10
000429,SHE,Stock,CNY,2007-01-04,2025-10-10
000430,SHE,Stock,CNY,2007-08-30,2025-10-10
000488,SHE,Stock,CNY,2007-01-04,2025-10-10
000498,SHE,Stock,CNY,2007-01-04,2025-10-10
000501,SHE,Stock,CNY,2007-01-04,2025-10-10
000502,SHE,Stock,CNY,2007-08-30,2022-06-27
000503,SHE,Stock,CNY,2007-08-30,2025-10-10
000504,SHE,Stock,CNY,2007-08-30,2025-10-10
000505,SHE,Stock,CNY,2007-08-30,2025-10-10
000506,SHE,Stock,CNY,2009-06-05,2025-10-10
000507,SHE,Stock,CNY,2007-01-04,2025-10-10
000508,SHE,Stock,CNY,,
000509,SHE,Stock,CNY,2007-08-30,2025-10-10
000510,SHE,Stock,CNY,2007-08-30,2025-10-10
000511,SHE,Stock,CNY,2007-08-30,2018-07-17
000513,SHE,Stock,CNY,2007-01-04,2025-10-10
000514,SHE,Stock,CNY,2007-01-04,2025-10-10
000515,SHE,Stock,CNY,,
000516,SHE,Stock,CNY,2007-08-30,2025-10-10
000517,SHE,Stock,CNY,2009-09-11,2025-10-10
000518,SHE,Stock,CNY,2007-08-30,2025-10-10
000519,SHE,Stock,CNY,2007-08-30,2025-10-10
000520,SHE,Stock,CNY,2015-08-18,2025-10-10
000521,SHE,Stock,CNY,2007-08-30,2025-10-10
000522,SHE,Stock,CNY,,
000523,SHE,Stock,CNY,2007-01-04,2025-10-10
000524,SHE,Stock,CNY,2007-01-04,2025-10-10
000525,SHE,Stock,CNY,2007-08-30,2025-10-10
000526,SHE,Stock,CNY,2007-08-30,2025-10-10
000527,SHE,Stock,CNY,,
000528,SHE,Stock,CNY,2007-01-04,2025-10-10
000529,SHE,Stock,CNY,2009-09-11,2025-10-10
000530,SHE,Stock,CNY,2007-01-04,2025-10-10
000531,SHE,Stock,CNY,2007-01-04,2025-10-10
000532,SHE,Stock,CNY,2007-08-30,2025-10-10
000533,SHE,Stock,CNY,2007-08-30,2025-10-10
000534,SHE,Stock,CNY,2007-01-04,2025-10-10
000535,SHE,Stock,CNY,,
000536,SHE,Stock,CNY,2009-02-04,2025-10-10
000537,SHE,Stock,CNY,2007-01-04,2025-10-10
000538,SHE,Stock,CNY,2007-01-04,2025-10-10
000539,SHE,Stock,CNY,2007-01-04,2025-10-10
000540,SHE,Stock,CNY,2007-08-30,2023-05-18
000541,SHE,Stock,CNY,2007-01-04,2025-10-10
000542,SHE,Stock,CNY,,
000543,SHE,Stock,CNY,2007-01-04,2025-10-10
000544,SHE,Stock,CNY,2007-08-30,2025-10-10
000545,SHE,Stock,CNY,2007-08-30,2025-10-10
000546,SHE,Stock,CNY,2007-08-30,2025-10-10
000547,SHE,Stock,CNY,2007-08-30,2025-10-10
000548,SHE,Stock,CNY,2007-08-30,2025-10-10
000549,SHE,Stock,CNY,,
000550,SHE,Stock,CNY,2007-01-04,2025-10-10
000551,SHE,Stock,CNY,2007-08-30,2025-10-10
000552,SHE,Stock,CNY,2007-01-04,2025-10-10
000553,SHE,Stock,CNY,2007-08-30,2025-10-10
000554,SHE,Stock,CNY,2007-08-30,2025-10-10
000555,SHE,Stock,CNY,2007-01-04,2025-10-10
000556,SHE,Stock,CNY,,
000557,SHE,Stock,CNY,2007-08-30,2025-10-10
000558,SHE,Stock,CNY,2007-08-30,2025-10-10
000559,SHE,Stock,CNY,2007-01-04,2025-10-10
000560,SHE,Stock,CNY,2007-01-04,2025-10-10
000561,SHE,Stock,CNY,2007-08-30,2025-10-10
000562,SHE,Stock,CNY,,
000563,SHE,Stock,CNY,2007-01-04,2025-10-10
000564,SHE,Stock,CNY,2007-08-30,2025-10-10
000565,SHE,Stock,CNY,2007-01-04,2025-10-10
000566,SHE,Stock,CNY,2007-08-30,2025-10-10
000567,SHE,Stock,CNY,2007-08-30,2025-10-10
000568,SHE,Stock,CNY,2007-01-04,2025-10-10
000569,SHE,Stock,CNY,,
000570,SHE,Stock,CNY,2007-08-30,2025-10-10
000571,SHE,Stock,CNY,2007-08-30,2025-10-10
000572,SHE,Stock,CNY,2007-08-30,2025-10-10
000573,SHE,Stock,CNY,2007-01-04,2025-10-10
000576,SHE,Stock,CNY,2007-08-30,2025-10-10
000578,SHE,Stock,CNY,,
000581,SHE,Stock,CNY,2007-01-04,2025-10-10
000582,SHE,Stock,CNY,2007-08-30,2025-10-10
000583,SHE,Stock,CNY,,
000584,SHE,Stock,CNY,2007-08-30,2025-07-10
000585,SHE,Stock,CNY,2007-08-30,2022-05-24
000586,SHE,Stock,CNY,2007-01-04,2025-10-10
000587,SHE,Stock,CNY,2007-08-30,2023-04-03
